rcl_codigo,rcl_nivel,rcl_subnivel,articulo,cantidad
RCL134-C001,5,1,7550695,4
RCL134-C001,5,1,500463,65
RCL134-C002,1,1,500168,12
RCL134-C002,1,1,500304,14
RCL134-C002,1,1,500313,25
RCL134-C002,1,1,500174,35
RCL134-C002,2,1,500116,332
RCL134-C002,2,1,500126,3
RCL134-C002,2,1,7550086,18
RCL134-C002,3,1,500117,307
RCL134-C002,3,1,7001506,135
RCL134-C002,4,1,500458,12
RCL134-C002,4,1,500115,168
RCL134-C002,4,1,500457,1
RCL134-C002,5,1,500141,14
RCL134-C002,5,1,500121,68
RCL134-C002,5,1,500120,64
RCL134-C003,1,1,7503509,1
RCL134-C003,1,1,500145,4
RCL134-C003,1,1,500114,63
RCL134-C003,1,1,7550811,5
RCL134-C003,2,1,7503410,9
RCL134-C003,2,1,500111,144
RCL134-C003,2,1,500158,243
RCL134-C003,3,1,7550060,7
RCL134-C003,3,1,78590166264,1
RCL134-C003,3,1,500147,29
RCL134-C003,3,1,500113,85
RCL134-C003,3,1,500143,182
RCL134-C003,3,1,7503059,4
RCL134-C003,4,1,7550338,1
RCL134-C003,4,1,7001011,1
RCL134-C003,4,1,500488,18
RCL134-C003,5,1,7001003,5
RCL134-C004,1,1,7500528,12
RCL134-C004,1,1,7500527,15
RCL134-C004,1,1,7500518,7
RCL134-C004,1,1,7500523,3
RCL134-C004,2,1,785901577928,5
RCL134-C004,2,1,7500517,106
RCL134-C004,2,1,7500535,4
RCL134-C004,3,1,7500522,32
RCL134-C004,3,1,7500542,20
RCL134-C004,4,1,7500530,26
RCL134-C004,4,1,7500520,4
RCL134-C004,4,1,7500519,21
RCL134-C004,4,1,7500505,23
RCL134-C004,4,1,7500531,18
RCL134-C004,4,1,7500513,6
RCL134-C004,5,1,7001510,97
RCL135-C001,1,1,7503067,1
RCL135-C001,1,1,501429,9
RCL135-C001,1,1,500497,9
RCL135-C001,1,1,500198,31
RCL135-C001,1,1,7550211,55
RCL135-C001,2,1,7062201,1
RCL135-C001,2,1,7550042,9
RCL135-C001,2,1,7550061,9
RCL135-C001,2,1,7550105,1
RCL135-C001,2,1,7062200,5
RCL135-C001,2,1,7503212,3
RCL135-C001,2,1,500573,16
RCL135-C001,2,1,500476,8
RCL135-C001,3,1,500142,46
RCL135-C001,3,1,7503020,1
RCL135-C001,3,1,500170,5
RCL135-C001,3,1,500453,67
RCL135-C001,3,1,501420,16
RCL135-C001,4,1,500150,49
RCL135-C001,4,1,7503055,8
RCL135-C001,4,1,500108,38
RCL135-C001,4,1,7503411,5
RCL135-C001,4,1,500464,20
RCL135-C001,5,1,500190,41
RCL135-C001,5,1,7062021,10
RCL135-C001,6,1,500149,28
RCL135-C001,6,1,7550081,5
RCL136-C001,1,1,500110,832
RCL136-C001,3,1,7503185,8
RCL136-C001,4,1,500171,27
RCL136-C001,4,1,7503601,5
RCL136-C001,4,1,7503517,85
RCL136-C001,4,1,500197,112
RCL136-C001,4,1,7503102,92
RCL136-C001,4,1,7504007,11
RCL136-C001,4,1,500191,10
RCL136-C001,4,1,7503107,2
RCL136-C001,5,1,500148,1
RCL137-C001,2,1,3018117,11
RCL137-C001,3,1,3018102,17
RCL137-C001,3,1,7041943,37
RCL137-C001,4,1,7041947,8
RCL137-C001,5,1,7507269,184
RCL138-C001,1,1,5180011,301
RCL138-C001,1,1,5180004,63
RCL138-C001,2,1,5140500,627
RCL138-C001,2,1,5230102,85
RCL138-C001,3,1,5180027,219
RCL138-C001,3,1,5120830,1
RCL138-C001,3,1,5170011,236
RCL138-C001,4,1,5120818,1
RCL138-C001,4,1,5120150,1
RCL138-C001,4,1,5120802,5
RCL138-C001,4,1,5180001,130
RCL134-C003,1,1,7503516,190
RCL138-C001,5,1,5140041,462
RCL138-C002,1,1,5180006,430
RCL138-C002,2,1,5180022,417
RCL138-C002,3,1,5180061,43
RCL138-C002,4,1,2385705,464
RCL138-C002,5,1,5180024,161
RCL138-C003,1,1,5240028,14
RCL138-C003,1,1,5180008,79
RCL138-C003,2,1,2385720,343
RCL138-C003,3,1,5180014,158
RCL138-C003,3,1,5140000,256
RCL134-C003,4,1,500144,15
RCL138-C003,4,1,5180003,512
RCL138-C003,5,1,5180019,175
RCL138-C003,5,1,5120301,127
RCL138-C004,1,1,5140040,68
RCL138-C004,2,1,5170019,503
RCL138-C004,3,1,5230103,90
RCL134-C004,1,1,7500516,4
RCL138-C004,4,1,5170012,1722
RCL138-C004,5,1,5140310,518
RCL139-C001,1,1,5140026,94
RCL139-C001,1,1,5170009,32
RCL139-C001,1,1,5140029,50
RCL139-C001,1,1,5140030,31
RCL139-C001,1,1,5090097,70
RCL139-C001,2,1,5140311,56
RCL139-C001,2,1,5140051,8
RCL139-C001,3,1,5230101,211
